key,value
"Anti-Black or African American",2871
"Anti-White",869
"Anti-Jewish",683
"Anti-Gay (Male)",673
"Anti-Hispanic or Latino",517
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",306
"Anti-Other Race/Ethnicity/Ancestry",298
"Anti-Asian",279
"Anti-Transgender",213
"Multiple Bias",211
"Anti-Multiple Races, Group",211
"Anti-Islamic (Muslim)",110
"Anti-Lesbian (Female)",103
"Anti-American Indian or Alaska Native",96
"Anti-Sikh",89
"Anti-Mental Disability",77
"Anti-Other Religion",76
"Anti-Catholic",73
"Anti-Arab",71
"Anti-Physical Disability",53
"Anti-Gender Non-Conforming",53
"Anti-Other Christian",50
"Anti-Female",50
"Anti-Eastern Orthodox (Russian, Greek, Other)",43
"Anti-Multiple Religions, Group",40
"Anti-Protestant",30
"Anti-Male",25
"Anti-Bisexual",17
"Anti-Buddhist",15
"Anti-Native Hawaiian or Other Pacific Islander",15
"Anti-Heterosexual",11
"Anti-Hindu",11
"Anti-Jehovahs Witness",9
"Anti-Atheism/Agnosticism",8
"Anti-Mormon",7
